Draw Date,Winning Numbers,Multiplier
2018-01-17,03 33 37 51 57 21,2
2018-01-20,26 28 47 49 58 03,4
2018-01-24,05 09 11 33 64 21,3
2018-01-27,17 21 26 47 54 07,2
2018-01-31,04 07 14 46 59 22,10
2018-02-03,15 23 27 48 53 06,2
2018-02-07,23 34 35 40 47 10,2
2018-02-10,01 13 27 41 59 20,5
2018-02-14,37 39 44 46 69 26,2
2018-02-17,13 26 39 44 62 02,3
2018-02-21,07 15 31 34 36 08,3
2018-02-24,24 25 38 62 63 06,2
2018-02-28,12 30 59 65 69 16,5
2018-03-03,13 17 25 36 40 05,2
2018-03-07,06 13 19 36 51 18,2
2018-03-10,43 44 54 61 69 22,3
2018-03-14,06 12 24 41 68 09,3
2018-03-17,22 57 59 60 66 07,2
2018-03-21,03 04 18 29 61 25,2
2018-03-24,10 33 45 53 56 24,3
2018-03-28,06 08 26 52 53 21,2
2018-03-31,08 24 52 55 61 21,3
2018-04-04,08 24 42 54 64 24,4
2018-04-07,02 17 20 38 39 20,2
2018-04-11,16 18 27 55 67 18,3
2018-04-14,17 19 26 61 62 15,2
2018-04-18,09 10 12 17 23 09,2
2018-04-21,40 50 54 62 69 19,2
2018-04-25,17 18 39 56 64 12,3
2018-04-28,20 22 28 45 50 08,5
2018-05-02,05 14 31 40 50 06,2
2018-05-05,14 29 36 57 61 17,4
2018-05-09,11 16 38 50 69 19,2
2018-05-12,22 42 45 55 56 14,3
2018-05-16,17 19 21 22 51 19,2
2018-05-19,03 06 09 17 56 25,3
2018-05-23,20 54 56 61 64 07,4
2018-05-26,01 21 31 45 49 21,2
2018-05-30,17 23 26 46 68 20,2
2018-06-02,23 25 37 44 64 07,4
2018-06-06,23 28 41 53 56 14,3
2018-06-09,06 10 15 25 36 14,3
2018-06-13,13 20 38 45 55 01,2
2018-06-16,09 45 57 58 65 09,2
2018-06-20,04 14 23 27 56 13,2
2018-06-23,16 29 43 45 56 25,2
2018-06-27,07 28 37 62 63 15,2
2018-06-30,03 09 20 42 61 24,2
2018-07-04,04 07 15 41 44 10,2
2018-07-07,01 10 43 45 64 22,3
2018-07-11,19 21 27 46 47 07,4
2018-07-14,22 41 42 49 67 11,3
2018-07-18,01 10 27 28 36 12,2
2018-07-21,09 23 56 58 68 01,2
2018-07-25,02 18 41 44 64 26,2
2018-07-28,22 27 46 56 65 13,2
2018-08-01,05 22 32 38 58 26,2
2018-08-04,03 11 38 44 58 02,4
2018-08-08,10 21 30 43 63 17,2
2018-08-11,05 43 56 62 68 24,2
2018-08-15,12 15 28 47 48 16,2
2018-08-18,24 34 52 61 67 16,3
2018-08-22,01 07 45 47 69 13,2
2018-08-25,20 25 54 57 63 08,2
2018-08-29,25 41 53 57 67 12,2
2018-09-01,11 54 55 61 66 09,3
2018-09-05,06 15 50 59 60 13,2
2018-09-08,03 13 20 32 33 21,3
2018-09-12,06 28 48 63 64 24,2
2018-09-15,02 18 19 24 34 03,3
2018-09-19,04 39 48 50 51 11,3
2018-09-22,24 61 63 64 69 18,5
2018-09-26,01 02 07 30 50 08,5
2018-09-29,09 17 34 59 64 22,2
2018-10-03,41 53 59 63 66 03,3
2018-10-06,01 22 27 53 67 15,3
2018-10-10,08 23 27 42 60 07,3
2018-10-13,11 14 32 43 65 15,3
2018-10-17,03 57 64 68 69 15,3
2018-10-20,16 54 57 62 69 23,2
2018-10-24,03 21 45 53 56 22,2
2018-10-27,08 12 13 19 27 04,3
2018-10-31,07 25 39 40 47 20,3
2018-11-03,15 21 24 32 65 11,3
2018-11-07,26 28 34 42 50 25,2
2018-11-10,05 29 34 53 57 24,2
2018-11-14,07 42 49 62 69 23,5
2018-11-17,06 08 20 52 68 05,2
2018-11-21,07 14 23 38 55 18,2
2018-11-24,11 33 51 56 58 18,2
2018-11-28,04 19 59 68 69 21,2
2018-12-01,10 11 47 55 58 26,2
2018-12-05,09 11 36 37 38 11,5
2018-12-08,14 32 34 46 61 10,2
2018-12-12,04 09 21 29 64 26,2
2018-12-15,08 38 43 52 55 17,3
2018-12-19,15 29 31 37 43 16,2
2018-12-22,21 28 30 40 59 26,3
2018-12-26,05 25 38 52 67 24,2
2018-12-29,12 42 51 53 62 25,2
2019-01-02,08 12 42 46 56 12,2
2019-01-05,03 07 15 27 69 19,2
2019-01-09,06 19 37 49 59 22,3
2019-01-12,07 36 48 57 58 24,2
2019-01-16,14 29 31 56 61 01,2
2019-01-19,05 08 41 65 66 20,3
2019-01-23,23 25 47 48 50 24,3
2019-01-26,08 12 20 21 32 10,4
2019-01-30,02 12 16 29 54 06,2
2019-02-02,10 17 18 43 65 13,5
2019-02-06,05 13 28 38 63 21,5
2019-02-09,01 02 03 07 39 25,3
2019-02-13,02 08 14 24 69 26,2
2019-02-16,29 30 41 48 64 01,4
2019-02-20,27 49 50 51 52 02,2
2019-02-23,04 06 14 20 32 13,2
2019-02-27,21 31 42 49 59 23,5
2019-03-02,01 19 25 27 68 21,2
2019-03-06,06 10 21 35 46 23,2
2019-03-09,05 06 45 55 59 14,3
2019-03-13,18 36 45 47 69 14,3
2019-03-16,30 34 39 53 67 11,2
2019-03-20,10 14 50 53 63 21,2
2019-03-23,24 25 52 60 66 05,3
2019-03-27,16 20 37 44 62 12,3
2019-03-30,21 52 54 64 68 04,3
2019-04-03,16 19 25 32 49 18,2
2019-04-06,15 33 43 59 60 08,3
2019-04-10,12 21 23 39 67 06,4
2019-04-13,04 17 26 32 49 10,2
2019-04-17,01 15 17 46 66 15,3
2019-04-20,03 27 30 63 65 01,3
2019-04-24,06 32 35 36 65 04,5
2019-04-27,02 29 41 45 62 06,3
2019-05-01,05 23 28 56 66 17,5
2019-05-04,06 16 23 30 61 02,2
2019-05-08,01 45 53 64 66 03,3
2019-05-11,06 08 09 37 40 26,2
2019-05-15,07 17 33 61 68 04,2
2019-05-18,02 10 25 66 67 26,4
2019-05-22,07 10 20 44 57 03,2
2019-05-25,01 02 39 43 66 02,3
2019-05-29,03 32 34 42 61 07,2
2019-06-01,06 15 34 45 52 08,2
2019-06-05,17 23 28 34 38 08,3
2019-06-08,09 13 42 48 60 18,2
2019-06-12,05 35 38 42 57 13,2
2019-06-15,08 11 14 16 49 14,3
2019-06-19,04 18 21 26 38 01,3
2019-06-22,03 06 11 14 66 21,2
2019-06-26,01 05 16 22 54 24,3
